id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category
1000000000000000000,Just got the new iPhone 15 Pro Max and the camera is absolutely amazing! #iPhone,2025-03-24 17:54:36.956172,en,23,27,135,Twitter for Android,iPhone,iphone
1000000000000000001,Battery life on this iPhone is disappointing. Barely lasts half a day with normal use.,2025-03-24 15:54:36.956172,en,10,29,83,Twitter for Android,#iPhone,iphone
1000000000000000002,Apple's iOS updates are so smooth. Love how my iPhone just works.,2025-03-24 13:54:36.956172,en,28,5,173,Twitter for iPhone,iPhone,iphone
1000000000000000003,The iPhone display is gorgeous but I wish it didn't have that notch at the top.,2025-03-24 11:54:36.956172,en,47,17,88,Twitter for Android,Apple iPhone,iphone
1000000000000000004,iPhone prices are getting ridiculous. Is it really worth $1200 for a phone?,2025-03-24 09:54:36.956172,en,12,19,85,Twitter for Web,#iPhone,iphone
1000000000000000005,Face ID on my new iPhone works perfectly even in low light. Great feature!,2025-03-24 07:54:36.956172,en,35,1,82,Twitter for Android,Apple iPhone,iphone
1000000000000000006,The iPhone camera is incredible for night photography. Best phone camera I've used.,2025-03-24 05:54:36.956172,en,39,4,69,Twitter for Android,#iPhone,iphone
1000000000000000007,iPhone storage fills up way too quickly. 128GB should be the minimum option.,2025-03-24 03:54:36.956172,en,37,25,53,Twitter for Android,#iPhone,iphone
1000000000000000008,Apple's build quality on the iPhone is second to none. This thing feels premium.,2025-03-24 01:54:36.956172,en,16,21,80,Twitter for Web,Apple iPhone,iphone
1000000000000000009,iPhone performance is still great after a year of heavy use. Apple silicon is impressive.,2025-03-23 23:54:36.956172,en,37,3,173,Twitter for Web,Apple iPhone,iphone
1000000000000000010,The iPhone ecosystem integration with my MacBook and iPad is seamless. Love it!,2025-03-23 21:54:36.956172,en,18,10,128,Twitter for Web,iPhone,iphone
1000000000000000011,Why is iPhone battery degradation still such an issue? Mine's at 85% after just 8 months.,2025-03-23 19:54:36.956172,en,24,5,39,Twitter for iPhone,#iPhone,iphone
1000000000000000012,iPhone's haptic feedback is so satisfying. Android phones just don't compare.,2025-03-23 17:54:36.956172,en,31,1,188,Twitter for iPhone,iPhone,iphone
1000000000000000013,The new iPhone camera bump is huge. Makes the phone wobble on flat surfaces.,2025-03-23 15:54:36.956172,en,43,28,52,Twitter for Android,iPhone,iphone
1000000000000000014,iPhone speakers are surprisingly good for such a slim device. Great stereo sound.,2025-03-23 13:54:36.956172,en,47,13,64,Twitter for iPhone,#iPhone,iphone
2000000000000000000,The Galaxy S23 Ultra's 200MP camera is insane! Samsung really nailed it this year. #SamsungGalaxy,2025-03-24 17:54:36.956172,en,35,20,109,Twitter for iPhone,Galaxy S,galaxy
2000000000000000001,Samsung's One UI is so clunky compared to stock Android. Too many duplicate apps.,2025-03-24 15:54:36.956172,en,29,9,38,Twitter for Android,Galaxy S,galaxy
2000000000000000002,The Galaxy Z Fold is revolutionary. Having a tablet in my pocket changes everything.,2025-03-24 13:54:36.956172,en,46,28,70,Twitter for Android,Galaxy S,galaxy
2000000000000000003,Battery life on my Galaxy S22 is terrible. Barely makes it through the day.,2025-03-24 11:54:36.956172,en,44,13,114,Twitter for Android,Samsung Galaxy,galaxy
2000000000000000004,Samsung's display technology is the best in the industry. This AMOLED screen is stunning.,2025-03-24 09:54:36.956172,en,27,17,66,Twitter for iPhone,Galaxy S,galaxy
2000000000000000005,Galaxy phones have too much bloatware. Why do I need two app stores?,2025-03-24 07:54:36.956172,en,14,15,16,Twitter for iPhone,Samsung Galaxy,galaxy
2000000000000000006,The customization options on my Galaxy are endless. Love being able to make it truly mine.,2025-03-24 05:54:36.956172,en,47,16,7,Twitter for Web,#SamsungGalaxy,galaxy
2000000000000000007,Samsung's build quality has improved so much. This Galaxy feels solid and premium.,2025-03-24 03:54:36.956172,en,35,25,199,Twitter for Web,Galaxy S,galaxy
2000000000000000008,Galaxy S Pen functionality is a game changer for taking notes and drawing.,2025-03-24 01:54:36.956172,en,47,23,79,Twitter for Web,Galaxy S,galaxy
2000000000000000009,Samsung needs to improve their update policy. My Galaxy is still waiting for Android 14.,2025-03-23 23:54:36.956172,en,45,19,147,Twitter for iPhone,Samsung Galaxy,galaxy
2000000000000000010,The wide-angle lens on the Galaxy camera is perfect for landscape photography.,2025-03-23 21:54:36.956172,en,49,16,175,Twitter for Web,Galaxy S,galaxy
2000000000000000011,Samsung DeX is underrated. Turning my Galaxy into a desktop is super useful.,2025-03-23 19:54:36.956172,en,10,28,58,Twitter for Android,Galaxy Note,galaxy
2000000000000000012,My Galaxy overheats during gaming sessions. Performance throttling is annoying.,2025-03-23 17:54:36.956172,en,37,3,149,Twitter for iPhone,Samsung Galaxy,galaxy
2000000000000000013,The Galaxy's adaptive refresh rate makes scrolling so smooth while saving battery.,2025-03-23 15:54:36.956172,en,26,3,12,Twitter for Android,Galaxy Note,galaxy
2000000000000000014,Samsung's fast charging is incredible. 0 to 50% in just 15 minutes!,2025-03-23 13:54:36.956172,en,13,25,84,Twitter for Web,Samsung Galaxy,galaxy
1904306367688765839,"@LingerieAndRope Well this is what confused me!! I just got used to the 1080 and some 4k but now I’m like “wait there’s 5k” I thought that was just TVs haha. 
Thank you!! I appreciate that 🫶 just think it’s time I graduate from my iPhone 😅",2025-03-24 22:56:33+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306320414491031,Check out my latest article: Why Hasn’t an iPhone-Filmed Movie Won a Major Cinematography Award? https://t.co/Jq2EdhHPma via @LinkedIn,2025-03-24 22:56:21+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306301913485601,@zollotech Make #Iphone 13 pro max great again,2025-03-24 22:56:17+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306270259102166,hi guys whatsthe best iphone out Rn i want a new one but idk what One,2025-03-24 22:56:09+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306191498432876,"Turned on Grayscale for @apple Carplay in the settings app of Carplay and now Iphone Mirroring applies color filters. Why is Carplay so bad?????????
https://t.co/Az6AF8TiGe",2025-03-24 22:55:51+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306160448233715,Making movies on an iPhone 6 🎥 🍿 https://t.co/FZZwsoSR6V,2025-03-24 22:55:43+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306130131824805,"Morning Vibes 🌄 

Iphone Wallpapers 4K HD 📲 

#Wallpapers |#iPhoneWallpaper I #4kwallpaper https://t.co/sj74A3gh2J",2025-03-24 22:55:36+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904306023323812021,@Texas_jeep__guy IPhone sucks donkey d,2025-03-24 22:55:10+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904305967774552493,"Dreamer &amp; The Awakening 

Iphone Wallpapers 4K HD 📲 

#Wallpapers | #iPhoneWallpaper I #4kwallpaper 👇 https://t.co/rXjtlfHnm6",2025-03-24 22:54:57+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904305925026169003,Is the iPhone auto correct drunk? It use to be decent but has been so off the past couple weeks,2025-03-24 22:54:47+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904305853483905467,"GOVERNMENT ISSUES STATEMENT: 🦠 Dead marine life and surfer health concerns prompt official response, as Government confirms a harmful toxic algae off southern coastline. &gt;&gt; https://t.co/iaLloAehwh

🌟 Read daily news on our free iPhone app: https://t.co/WJZDuenEUw

🌟 Read daily https://t.co/LMMOG8dJsE",2025-03-24 22:54:30+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone
1904305437861679181,"@Texas_jeep__guy I can jailbreak mine and get a whole new operating system that doesn't have bloatwear on it, like apps you can not uninstall on you iPhone. Plus, apple slows down your phones, so you upgrade and spend more money.",2025-03-24 22:52:51+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone
1904305362842345957,Hey @Apple your iPhone sales are down big time because of no more physical sim tray on your US iPhone models. It turns out millions of people travel abroad and use the local sim cards. Big win for Samsung.,2025-03-24 22:52:33+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone
1904305338641494440,Apple iPhone 17 Pro MAX Ultra - Launch Date + Price in the USA and other... https://t.co/a9emPX3JuI via @YouTube,2025-03-24 22:52:27+00:00,en,1,0,1,,Apple iPhone lang:en -is:retweet,iphone
1904305282995339651,"Ellen Joe’s movements are next-level smooth, like a shark swimming through battle! 🦈💥 Testing her in ZZZ—she’s a beast!
https://t.co/G6QJcs5T91
#zenlesszonezero #ZenlessZoneZeroFanart #EllenJoe #HoYoverse #Apple #iphone #gaming #MobileGaming #shark #sharkstyle #sharkbae",2025-03-24 22:52:14+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone
1904304082090684684,"Does it?
https://t.co/Zhbd9z8c23
↓ https://t.co/ImTRVhAiVe",2025-03-24 22:47:28+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone
1904301473514574174,"Hi @Apple - What gives with the latest IOS (18) update and iphone 13 cameras?  You're telling me that I have added a non-factory part, which is not true. #Help",2025-03-24 22:37:06+00:00,en,0,1,0,,Apple iPhone lang:en -is:retweet,iphone
1904300696968499392,@abok_fasa @TimKalyegira Can you tell me how many times an iphone has been breached without apple being involved !,2025-03-24 22:34:01+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone
1904300591565910092,"If you expect me to buy the next $2000 iPhone, the purchase should come with a tokenized portion of Apple stock, like one percent of the purchase price, which is better than nothing. 

$2000 → 1% = $20 ✓ (tokenized stock)

@Apple",2025-03-24 22:33:35+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone
1904315762958839871,I need a new phone dis iPhone 6s pmo,2025-03-24 23:33:53+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315759666626606,"2023:05:27 14:12:06
iPhone 11 Pro back triple camera 4.25mm f/1.8
Focal Length:26mm (35mm eq.)
Aperture: f/1.8
Exposure: 1/990s
Ev: 11.6
ISO equiv: 32
#Green https://t.co/PgrivB2EC4",2025-03-24 23:33:52+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315731401195927,"@DarkMinds001 It's heart-wrenching to hear about your pain. Tears signify deep emotional turmoil, not weakness. Expressing feelings is a step toward healing. #ThriveAI is here to support you. #HealingJourney

🚀 Join Thrive AI today and reclaim your mind!
📲 Download for FREE:
   • iPhone:",2025-03-24 23:33:45+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315731174408527,"Wait until they turn the mob

Onto everybody with an iPhone 
or MacBook 
or Gucci bag 

Etc. 

—-

The less intelligent 
They can be Weaponized 

Always have been 
Always will be https://t.co/nYnhlZKOiu",2025-03-24 23:33:45+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315643622486099,"#MOONwin🔥

Pump YOUR way to MILLIONS!🌐

🎁Welcome: https://t.co/4htXNd4ONf

1UK5qg36 @ua3b1cZA1iKrUFu @BujangT59231130 @Jay31192 @BitVenturer2 @mariavictorix @zishee786 @Capital671 @emotionartist @xmastoys09 @TM_IPhone",2025-03-24 23:33:24+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315601730023583,"2023:05:27 14:17:37
iPhone 11 Pro back triple camera 4.25mm f/1.8
Focal Length:51mm (35mm eq.)
Aperture: f/1.8
Exposure: 1/2183s
Ev: 12.8
ISO equiv: 32
#Yellow https://t.co/SZQjiX8Khd",2025-03-24 23:33:14+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315569588888031,@yoshiyooa its just me and my old iphone 11 😩,2025-03-24 23:33:06+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315541768032475,"Tim Walz's iPhone today.  
Let’s see what happens tomorrow.  $RKLB 😂 https://t.co/kowEvvOD9S",2025-03-24 23:33:00+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315493131190706,i wish i could take things from iphone and android and make a super phone. the super nigga phone.,2025-03-24 23:32:48+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
1904315458528092361,This video is not a iphone commercial #meme https://t.co/irC2O7zOgM,2025-03-24 23:32:40+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone
