id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category
1e+18,Just got the new iPhone 15 Pro Max and the camera is absolutely amazing! #iPhone,2025-03-24 17:54:36.956172,en,23,27,135,Twitter for Android,iPhone,iphone
1e+18,Battery life on this iPhone is disappointing. Barely lasts half a day with normal use.,2025-03-24 15:54:36.956172,en,10,29,83,Twitter for Android,#iPhone,iphone
1e+18,Apple's iOS updates are so smooth. Love how my iPhone just works.,2025-03-24 13:54:36.956172,en,28,5,173,Twitter for iPhone,iPhone,iphone
1e+18,The iPhone display is gorgeous but I wish it didn't have that notch at the top.,2025-03-24 11:54:36.956172,en,47,17,88,Twitter for Android,Apple iPhone,iphone
1e+18,iPhone prices are getting ridiculous. Is it really worth $1200 for a phone?,2025-03-24 09:54:36.956172,en,12,19,85,Twitter for Web,#iPhone,iphone
1e+18,Face ID on my new iPhone works perfectly even in low light. Great feature!,2025-03-24 07:54:36.956172,en,35,1,82,Twitter for Android,Apple iPhone,iphone
1e+18,The iPhone camera is incredible for night photography. Best phone camera I've used.,2025-03-24 05:54:36.956172,en,39,4,69,Twitter for Android,#iPhone,iphone
1e+18,iPhone storage fills up way too quickly. 128GB should be the minimum option.,2025-03-24 03:54:36.956172,en,37,25,53,Twitter for Android,#iPhone,iphone
1e+18,Apple's build quality on the iPhone is second to none. This thing feels premium.,2025-03-24 01:54:36.956172,en,16,21,80,Twitter for Web,Apple iPhone,iphone
1e+18,iPhone performance is still great after a year of heavy use. Apple silicon is impressive.,2025-03-23 23:54:36.956172,en,37,3,173,Twitter for Web,Apple iPhone,iphone
1e+18,The iPhone ecosystem integration with my MacBook and iPad is seamless. Love it!,2025-03-23 21:54:36.956172,en,18,10,128,Twitter for Web,iPhone,iphone
1e+18,Why is iPhone battery degradation still such an issue? Mine's at 85% after just 8 months.,2025-03-23 19:54:36.956172,en,24,5,39,Twitter for iPhone,#iPhone,iphone
1e+18,iPhone's haptic feedback is so satisfying. Android phones just don't compare.,2025-03-23 17:54:36.956172,en,31,1,188,Twitter for iPhone,iPhone,iphone
1e+18,The new iPhone camera bump is huge. Makes the phone wobble on flat surfaces.,2025-03-23 15:54:36.956172,en,43,28,52,Twitter for Android,iPhone,iphone
1e+18,iPhone speakers are surprisingly good for such a slim device. Great stereo sound.,2025-03-23 13:54:36.956172,en,47,13,64,Twitter for iPhone,#iPhone,iphone
2e+18,The Galaxy S23 Ultra's 200MP camera is insane! Samsung really nailed it this year. #SamsungGalaxy,2025-03-24 17:54:36.956172,en,35,20,109,Twitter for iPhone,Galaxy S,galaxy
