ngram,count
samsungs,9
make,6
camera,6
year,4
battery,4
need,4
android,4
option,3
waiting,3
phone,3
screen,3
update,2
premium,2
samsunggalaxy,2
revolutionary,2
refresh,2
really,2
rate,2
quality,2
pocket,2
policy,2
photography,2
performance,2
wideangle,2
perfect,2
pen,2
overheats,2
saving,2
scrolling,2
underrated,2
session,2
useful,2
ultras,2
ui,2
turning,2
truly,2
throttling,2
terrible,2
technology,2
taking,2
tablet,2
super,2
stunning,2
store,2
stock,2
spec,2
note,2
smooth,2
solid,2
able,2
new,2
adaptive,2
display,2
different,2
dex,2
desktop,2
day,2
customization,2
compared,2
clunky,2
charging,2
changer,2
change,2
build,2
bloatware,2
best,2
barely,2
apps,2
app,2
annoying,2
amoled,2
drawing,2
duplicate,2
endless,2
industry,2
mp,2
model,2
minute,2
love,2
life,2
lens,2
landscape,2
insane,2
incredible,2
fast,2
improved,2
improve,2
gaming,2
game,2
galaxy,2
functionality,2
fold,2
feel,2
nailed,2
