ngram,count
pro max,5
io update,4
need new,2
price getting,2
photography best,2
phone dont,2
performance great,2
perfectly low,2
normal use,2
night photography,2
new work,2
new pro,2
new camera,2
android phone,2
latest io,2
mm eq,2
minimum option,2
max camera,2
make wobble,2
macbook ipad,2
low light,2
love work,2
light great,2
life disappointing,2
mm focal,2
pro triple,2
quality second,2
quickly gb,2
wish didnt,2
way quickly,2
wallpaper iphonewallpaper,2
wallpaper hd,2
update smooth,2
triple camera,2
thing feel,2
surprisingly good,2
storage way,2
stereo sound,2
speaker surprisingly,2
smooth love,2
slim device,2
silicon impressive,2
second thing,2
seamless love,2
screen replacement,2
satisfying android,2
ridiculous really,2
really worth,2
read daily,2
lengthmm mm,2
ive used,2
aperture exposure,2
feedback satisfying,2
exposure ev,2
ev iso,2
eq aperture,2
ecosystem integration,2
dont compare,2
display gorgeous,2
disappointing barely,2
didnt notch,2
device great,2
degradation issue,2
day normal,2
camera mm,2
camera ive,2
camera incredible,2
camera bump,2
camera absolutely,2
bump huge,2
build quality,2
barely half,2
apple io,2
apple build,2
face id,2
feel premium,2
issue month,2
flat surface,2
iso equiv,2
iphonewallpaper kwallpaper,2
iphones haptic,2
ipad seamless,2
integration macbook,2
incredible night,2
id new,2
huge make,2
heavy use,2
hd wallpaper,2
haptic feedback,2
half day,2
great year,2
great stereo,2
great feature,2
got new,2
gorgeous wish,2
good slim,2
getting ridiculous,2
gb minimum,2
focal lengthmm,2
wobble flat,2
