ngram,count
camera,11
pro,10
new,10
use,8
great,7
apple,6
make,6
price,5
app,5
max,5
io,5
update,5
work,5
thing,4
time,4
phone,4
option,4
wallpaper,4
mm,4
week,4
wish,4
love,4
like,4
issue,4
iphones,4
android,4
life,4
free,4
battery,4
best,4
feature,4
today,3
macbook,3
really,3
smooth,3
storage,3
disappointing,3
purchase,3
latest,3
charger,3
used,3
case,3
way,3
carplay,3
device,3
year,3
got,3
kwallpaper,2
surface,2
shark,2
silicon,2
sim,2
slim,2
ipad,2
sound,2
speaker,2
stock,2
style,2
super,2
surprisingly,2
ive,2
ecosystem,2
integration,2
incredible,2
impressive,2
id,2
hi,2
help,2
heavy,2
hd,2
hasn,2
haptic,2
setting,2
second,2
seamless,2
screen,2
lengthmm,2
let,2
getting,2
gb,2
good,2
iso,2
flat,2
feel,2
feedback,2
iphonewallpaper,2
notch,2
face,2
ev,2
equiv,2
eq,2
half,2
quality,2
quickly,2
read,2
gorgeous,2
replacement,2
ridiculous,2
satisfying,2
government,2
